253.561198 ,968.019333 ,-9.982131
-364.343357 ,926.783288 ,-3.969116
-950.277739 ,281.337961 ,-57.519579
-8.636017 ,-986.914203 ,-91.865455
539.433413 ,-843.764123 ,-84.680021
948.940575 ,-307.236244 ,-56.176890
982.993088 ,152.994434 ,-49.837113
463.832242 ,882.050786 ,-19.797841
397.284910 ,913.947901 ,-16.638662
308.642417 ,947.754703 ,-12.528062
-258.829416 ,964.766542 ,-2.775248
-823.907744 ,561.487026 ,-53.832714
-988.123324 ,115.727811 ,-77.968818
62.453611 ,-986.184811 ,-94.849387
847.927393 ,-535.875851 ,-62.956653
-146.229617 ,991.510490 ,-12.422448
-963.665515 ,234.524236 ,-80.268173
693.268799 ,-726.130792 ,-72.906747
943.570402 ,324.593097 ,-43.646448
-991.869219 ,-35.430010 ,-76.253630
-641.499591 ,-770.568942 ,-107.720373
965.532999 ,257.522247 ,-45.324119
726.372420 ,687.362635 ,-7.644107
994.188077 ,94.838764 ,-56.820790
900.462900 ,-435.724669 ,-92.688687
684.979868 ,-726.395792 ,-92.091970
-459.622598 ,-887.224344 ,-111.477340
-820.836522 ,-593.486558 ,-98.183357
-840.424085 ,579.578829 ,-41.866723
-630.431323 ,803.059390 ,-25.408968
-43.376577 ,1014.085610 ,0.429040
307.721939 ,961.919701 ,18.919566
987.790850 ,139.103158 ,-56.054399
972.891448 ,-225.939765 ,-70.594747
557.636593 ,-822.771576 ,-87.814564
-190.900042 ,-965.487953 ,-106.088697
-814.305210 ,-596.012049 ,-90.023133
-1007.914469 ,-40.347521 ,-69.774187
-459.877231 ,911.652646 ,-28.763729
-173.404520 ,1000.815421 ,-14.429355
-564.504741 ,786.105082 ,-144.909900
-829.340994 ,-490.546664 ,-218.413287
923.990514 ,-301.904633 ,-202.201340
977.757872 ,-31.766080 ,-215.753259
953.960205 ,-113.781037 ,-221.532081
933.281287 ,246.264164 ,-244.612637
890.790721 ,-353.938450 ,-246.960995
133.979608 ,958.127587 ,-191.907851
-680.274672 ,658.180839 ,-274.285573
-509.334082 ,-776.317188 ,-362.695049
-326.736554 ,899.259075 ,-252.604286
913.132631 ,282.334258 ,-305.859081
899.991413 ,316.861729 ,-310.777531
951.521407 ,-30.918624 ,-325.315830
257.591014 ,926.192118 ,-265.177151
-498.098379 ,-778.392281 ,-369.050596
21.495552 ,-905.697109 ,-411.880911
323.122024 ,-851.551260 ,-390.114140
-905.948239 ,279.051486 ,-356.935177
947.894623 ,-15.190868 ,-352.981151
312.127469 ,912.889149 ,-265.017817
456.252927 ,-798.888033 ,-392.521933
817.766948 ,-467.381634 ,-361.046218
-512.853733 ,822.540179 ,-307.480908
-932.148437 ,139.251451 ,-371.725352
946.296609 ,129.256793 ,-323.296981
148.787231 ,952.584871 ,-288.946889
769.281936 ,564.409713 ,-302.495815
794.467386 ,527.203367 ,-312.437210
440.619330 ,848.867739 ,-290.676120
-420.508508 ,846.321850 ,-325.423399
-756.964800 ,552.621278 ,-339.951168
-920.794798 ,88.016673 ,-381.242128
-878.366145 ,-283.381313 ,-398.266757
-723.328373 ,-572.339230 ,-408.037516
-311.950844 ,-855.816622 ,-409.004798
-293.084418 ,-959.281203 ,-67.864157
-28.555431 ,-1000.639188 ,-51.467920
664.581066 ,-769.987126 ,-46.801388
979.025394 ,-230.503747 ,-51.373056
993.424510 ,-160.389335 ,-51.191648
455.225683 ,898.507251 ,37.389486
-37.423385 ,1002.606509 ,22.835862
-431.191730 ,905.345620 ,7.067214
-585.587112 ,812.887070 ,4.063736
-996.838413 ,27.242266 ,-49.950143
-960.727911 ,-283.309522 ,-63.421327
-559.101831 ,-834.415449 ,-61.124592
-272.286555 ,-956.853446 ,-60.248774
439.470387 ,-897.941501 ,-53.086491
683.252874 ,-737.191654 ,-44.614797
998.292481 ,-22.734612 ,-12.741395
892.474506 ,452.215841 ,13.973597
213.651461 ,979.647908 ,23.078047
-413.553406 ,907.740959 ,14.815216
-804.526498 ,589.848813 ,-12.012493
-989.578698 ,125.212417 ,-32.228418
-472.772973 ,-879.972124 ,-62.665626
59.065225 ,-992.976882 ,-74.600893
849.512653 ,-545.215393 ,-35.133658
996.150277 ,-83.265484 ,-30.258030
457.814876 ,889.298211 ,20.250107
220.051137 ,972.872286 ,33.800227
-154.732533 ,989.730749 ,36.092218
-154.732533 ,989.730749 ,36.092218
-154.732533 ,989.730749 ,36.092218
-154.732533 ,989.730749 ,36.092218
-154.754145 ,987.594140 ,36.069131
-154.732533 ,989.730749 ,36.092218
-154.732533 ,989.730749 ,36.092218
